payment_id,customer_id,merchant_id,amount,payment_method,status,failure_code,failure_reason,retry_count,recovery_status,recovered_amount,created_at
pay_00001,cust_036,merchant_02,799,card,success,,,0,not_required,0,2026-08-30T13:50:43
pay_00002,cust_012,merchant_05,1499,upi,success,,,0,not_required,0,2026-08-24T15:44:43
pay_00003,cust_065,merchant_05,199,card,failed,GATEWAY_ERROR,Payment gateway temporarily unavailable,0,pending,0,2026-08-28T05:08:43
pay_00004,cust_054,merchant_02,1999,netbanking,success,,,0,not_required,0,2026-08-24T15:51:43
pay_00005,cust_021,merchant_04,1299,netbanking,success,,,0,not_required,0,2026-08-30T18:53:43
pay_00006,cust_012,merchant_04,299,netbanking,failed,INSUFFICIENT_FUNDS,Customer account has insufficient funds,0,pending,0,2026-08-29T16:45:43
pay_00007,cust_034,merchant_01,1999,upi,success,,,0,not_required,0,2026-08-23T23:48:43
pay_00008,cust_011,merchant_05,999,netbanking,success,,,0,not_required,0,2026-08-26T13:18:43
pay_00009,cust_006,merchant_02,999,upi,success,,,0,not_required,0,2026-08-30T01:40:43
pay_00010,cust_049,merchant_03,1999,netbanking,success,,,0,not_required,0,2026-08-29T17:05:43
pay_00011,cust_035,merchant_01,4999,card,failed,INSUFFICIENT_FUNDS,Customer account has insufficient funds,0,pending,0,2026-08-28T11:27:43
pay_00012,cust_021,merchant_04,1499,netbanking,success,,,0,not_required,0,2026-08-28T01:49:43
pay_00013,cust_029,merchant_03,199,card,success,,,0,not_required,0,2026-08-24T12:34:43
pay_00014,cust_052,merchant_03,299,card,success,,,0,not_required,0,2026-08-27T06:31:43
pay_00015,cust_041,merchant_02,1999,wallet,success,,,0,not_required,0,2026-08-24T09:47:43
pay_00016,cust_019,merchant_03,499,card,success,,,0,not_required,0,2026-08-25T15:22:43
pay_00017,cust_034,merchant_05,1499,wallet,success,,,0,not_required,0,2026-08-24T17:29:43
pay_00018,cust_066,merchant_04,299,upi,success,,,0,not_required,0,2026-08-29T06:53:43
pay_00019,cust_021,merchant_04,4999,upi,success,,,0,not_required,0,2026-08-29T02:55:43
pay_00020,cust_060,merchant_05,999,upi,success,,,0,not_required,0,2026-08-24T01:56:43
